#TIME	REQUESTED	python3	slurm_script	sps
106	48	4.41234	0	0.0256177
107	48	4.38338	0	0.0255764
108	48	4.355	0	0.0257143
109	48	4.32711	0	0.0256728
110	48	4.29968	0	0.0257198
111	48	4.27263	0	0.025679
112	48	4.24612	0	0.0258115
113	48	4.20842	0	0.0257001
114	48	4.18293	0	0.0257453
115	48	4.15785	0	0.0257897
116	48	4.13308	0	0.02575
117	48	4.1088	0	0.0257937
118	48	4.08489	0	0.0258366
119	48	4.06128	0	0.0258789
120	48	4.03811	0	0.0258398
121	48	4.0153	0	0.0258814
122	48	3.98263	0	0.0258566
123	48	3.96064	0	0.0258974
124	48	3.93898	0	0.0258594
125	48	3.91765	0	0.0258995
126	48	3.89655	0	0.025939
127	48	3.87584	0	0.025978
128	48	3.85543	0	0.0259405
129	48	3.8261	0	0.0259165
130	48	3.80631	0	0.0258801
131	48	3.78688	0	0.0259182
132	48	3.76757	0	0.0259559
133	48	3.74861	0	0.02592
134	48	3.72999	0	0.0259571
135	48	3.71169	0	0.0259217
136	48	3.69358	0	0.0260297
137	48	3.67564	0	0.0260653
138	48	3.64977	0	0.0259009
139	48	3.63248	0	0.0260067
140	48	3.61542	0	0.0259722
141	48	3.57456	0	0.0258361
142	48	3.55814	0	0.0258715
143	48	3.542	0	0.0258387
144	48	3.51851	0	0.0258181
145	48	3.5028	0	0.0258529
146	48	3.48735	0	0.025821
147	48	3.47204	0	0.0257895
148	48	3.45698	0	0.0258891
149	48	3.44211	0	0.0258576
150	48	3.42736	0	0.025891
151	48	3.41337	0	0.025924
152	48	3.39911	0	0.0258929
153	48	3.37804	0	0.025873
154	48	3.36412	0	0.0258426
155	48	3.35031	0	0.025875
156	48	3.33673	0	0.0259071
157	48	3.32331	0	0.0259387
158	48	3.31004	0	0.0259086
159	48	3.29688	0	0.0259399
160	48	3.27756	0	0.0259205
161	48	3.26481	0	0.0258911
162	48	3.25222	0	0.0259219
163	48	3.24036	0	0.0259524
164	48	3.22852	0	0.0259233
165	48	3.21681	0	0.0259534
166	48	3.18703	0	0.0258962
167	48	3.17564	0	0.0258102
168	48	3.1582	0	0.0258502
169	48	3.14671	0	0.0258227
170	48	3.1354	0	0.0258523
171	48	3.12421	0	0.0258816
172	48	3.11308	0	0.0259105
173	48	3.10214	0	0.0259392
174	48	3.0913	0	0.0258563
