#TIME	REQUESTED	python3	slurm_script	sps
71	0	0.00195694	1.52588e-05	0.000202179
72	0	0.00195694	1.52588e-05	0.000202179
73	0	0.00195694	1.52588e-05	0.000202179
74	0	0.00195694	1.52588e-05	0.000217438
75	0	0.00195694	1.52588e-05	0.000217438
76	0	0.00195694	1.52588e-05	0.000217438
77	0	0.00195694	1.52588e-05	0.000217438
78	0	0.00195694	1.52588e-05	0.000217438
79	0	0.00195694	1.52588e-05	0.000217438
80	0	0.00195694	1.52588e-05	0.000232697
81	0	0.00195694	1.52588e-05	0.000232697
82	0	0.00196075	1.52588e-05	0.000232697
83	0	0.00196457	1.52588e-05	0.000232697
84	0	0.00196457	1.52588e-05	0.000232697
85	0	0.00196457	1.52588e-05	0.000232697
86	0	0.00196457	1.52588e-05	0.000247955
87	0	0.00196457	1.52588e-05	0.000247955
88	0	0.0019722	1.52588e-05	0.000247955
89	0	0.0019722	1.52588e-05	0.000247955
90	0	0.0019722	1.52588e-05	0.000247955
91	0	0.0019722	1.52588e-05	0.000247955
92	0	0.00197983	1.52588e-05	0.000263214
93	0	0.00197983	1.52588e-05	0.000263214
94	0	0.00197983	1.52588e-05	0.000267029
95	0	0.00197983	1.52588e-05	0.000267029
96	0	0.00197983	1.52588e-05	0.000267029
97	0	0.00197983	1.52588e-05	0.000267029
98	0	0.00197983	1.52588e-05	0.000282288
99	0	0.00197983	1.52588e-05	0.000282288
100	0	0.00197983	1.52588e-05	0.000282288
101	0	0.00197983	1.52588e-05	0.000282288
102	0	0.00197983	1.52588e-05	0.000282288
103	0	0.00197983	1.52588e-05	0.000286102
104	0	0.00197983	1.52588e-05	0.000301361
105	0	0.00197983	1.52588e-05	0.000301361
106	0	0.00197983	1.52588e-05	0.000301361
107	0	0.00197983	1.52588e-05	0.000301361
108	0	0.00197983	1.52588e-05	0.000301361
109	0	0.00197983	1.52588e-05	0.000301361
110	0	0.00197983	1.52588e-05	0.00031662
111	0	0.00197983	1.52588e-05	0.00031662
112	0	0.00197983	1.52588e-05	0.00031662
113	0	0.00197983	1.52588e-05	0.00031662
114	0	0.00197983	1.52588e-05	0.00031662
115	0	0.00197983	1.52588e-05	0.00031662
116	0	0.00197983	1.52588e-05	0.000331879
117	0	0.00197983	1.52588e-05	0.000331879
118	0	0.00197983	1.52588e-05	0.000331879
119	0	0.00197983	1.52588e-05	0.000331879
120	0	0.00197983	1.52588e-05	0.000331879
121	0	0.00197983	1.52588e-05	0.000331879
122	0	0.00197983	1.52588e-05	0.000347137
123	0	0.00197983	1.52588e-05	0.000347137
124	0	0.00197983	1.52588e-05	0.000347137
125	0	0.00197983	1.52588e-05	0.000347137
126	0	0.00197983	1.52588e-05	0.000347137
127	0	0.00197983	1.52588e-05	0.000347137
128	0	0.00197983	1.52588e-05	0.000362396
129	0	0.00197983	1.52588e-05	0.000362396
130	0	0.00197983	1.52588e-05	0.000362396
131	0	0.00198746	1.52588e-05	0.000362396
132	0	0.00198746	1.52588e-05	0.000362396
133	0	0.00198746	1.52588e-05	0.000362396
134	0	0.00198746	1.52588e-05	0.000377655
135	0	0.00198746	1.52588e-05	0.000377655
136	0	0.00198746	1.52588e-05	0.000377655
137	0	0.00198746	1.52588e-05	0.000377655
138	0	0.00198746	1.52588e-05	0.000377655
139	0	0.00198746	1.52588e-05	0.000377655
140	0	0.00198746	1.52588e-05	0.000392914
141	0	0.00198746	1.52588e-05	0.000392914
142	0	0.00198746	1.52588e-05	0.000392914
143	0	0.00198746	1.52588e-05	0.000392914
144	0	0.00198746	1.52588e-05	0.000392914
145	0	0.00198746	1.52588e-05	0.000392914
146	0	0.00198746	1.52588e-05	0.000408173
147	0	0.00198746	1.52588e-05	0.000408173
148	0	0.00198746	1.52588e-05	0.000408173
149	0	0.00198746	1.52588e-05	0.000408173
150	0	0.00198746	1.52588e-05	0.000408173
151	0	0.00198746	1.52588e-05	0.000423431
152	0	0.00198746	1.52588e-05	0.000423431
153	0	0.00198746	1.52588e-05	0.000423431
154	0	0.00198746	1.52588e-05	0.000427246
155	0	0.00198746	1.52588e-05	0.000427246
156	0	0.00198746	1.52588e-05	0.000442505
157	0	0.00198746	1.52588e-05	0.000442505
158	0	0.00198746	1.52588e-05	0.00044632
159	0	0.00198746	1.52588e-05	0.00044632
160	0	0.00198746	1.52588e-05	0.00044632
161	0	0.00198746	1.52588e-05	0.000461578
162	0	0.00198746	1.52588e-05	0.000461578
163	0	0.00198746	1.52588e-05	0.000461578
164	0	0.00198746	1.52588e-05	0.000461578
165	0	0.00198746	1.52588e-05	0.000461578
166	0	0.00198746	1.52588e-05	0.000461578
167	0	0.00198746	1.52588e-05	0.000476837
168	0	0.00198746	1.52588e-05	0.000476837
169	0	0.00198746	1.52588e-05	0.000476837
170	0	0.00198746	1.52588e-05	0.000476837
171	0	0.00198746	1.52588e-05	0.000492096
172	0	0.00198746	1.52588e-05	0.000492096
173	0	0.00198746	1.52588e-05	0.000492096
174	0	0.00198746	1.52588e-05	0.000492096
