#TIME	REQUESTED	python3	slurm_script	sps
66	0	3.8147e-06	0	3.05176e-05
67	0	3.8147e-06	0	3.05176e-05
68	0	3.8147e-06	0	3.05176e-05
69	0	3.8147e-06	0	3.05176e-05
70	0	3.8147e-06	0	3.05176e-05
71	0	3.8147e-06	0	3.05176e-05
72	0	3.8147e-06	0	3.05176e-05
73	0	3.8147e-06	0	3.05176e-05
74	0	3.8147e-06	0	3.05176e-05
75	0	3.8147e-06	0	3.05176e-05
76	0	3.8147e-06	0	3.05176e-05
77	0	3.8147e-06	0	3.05176e-05
78	0	3.8147e-06	0	3.05176e-05
79	0	3.8147e-06	0	3.05176e-05
80	0	3.8147e-06	0	3.05176e-05
81	0	3.8147e-06	0	3.05176e-05
82	0	7.62939e-06	0	3.05176e-05
83	0	7.62939e-06	0	3.05176e-05
84	0	7.62939e-06	0	3.05176e-05
85	0	7.62939e-06	0	3.05176e-05
86	0	7.62939e-06	0	3.05176e-05
87	0	7.62939e-06	0	3.05176e-05
88	0	7.62939e-06	0	3.05176e-05
89	0	7.62939e-06	0	3.05176e-05
90	0	7.62939e-06	0	3.05176e-05
91	0	7.62939e-06	0	3.05176e-05
92	0	7.62939e-06	0	3.05176e-05
93	0	7.62939e-06	0	3.05176e-05
94	0	7.62939e-06	0	3.05176e-05
95	0	7.62939e-06	0	3.05176e-05
96	0	7.62939e-06	0	3.05176e-05
97	0	7.62939e-06	0	3.05176e-05
98	0	7.62939e-06	0	3.05176e-05
99	0	7.62939e-06	0	3.05176e-05
100	0	7.62939e-06	0	3.05176e-05
101	0	7.62939e-06	0	3.05176e-05
102	0	7.62939e-06	0	3.05176e-05
103	0	7.62939e-06	0	3.05176e-05
104	0	7.62939e-06	0	3.05176e-05
105	0	7.62939e-06	0	3.05176e-05
106	0	7.62939e-06	0	3.05176e-05
107	0	7.62939e-06	0	3.05176e-05
108	0	7.62939e-06	0	3.05176e-05
109	0	7.62939e-06	0	3.05176e-05
110	0	7.62939e-06	0	3.05176e-05
111	0	7.62939e-06	0	3.05176e-05
112	0	7.62939e-06	0	3.05176e-05
113	0	7.62939e-06	0	3.05176e-05
114	0	7.62939e-06	0	3.05176e-05
115	0	7.62939e-06	0	3.05176e-05
116	0	7.62939e-06	0	3.05176e-05
117	0	7.62939e-06	0	3.05176e-05
118	0	7.62939e-06	0	3.05176e-05
119	0	7.62939e-06	0	3.05176e-05
120	0	7.62939e-06	0	3.05176e-05
121	0	7.62939e-06	0	3.05176e-05
122	0	7.62939e-06	0	3.05176e-05
123	0	7.62939e-06	0	3.05176e-05
124	0	7.62939e-06	0	3.05176e-05
125	0	7.62939e-06	0	3.05176e-05
126	0	7.62939e-06	0	3.05176e-05
127	0	7.62939e-06	0	3.05176e-05
128	0	7.62939e-06	0	3.05176e-05
129	0	7.62939e-06	0	3.05176e-05
130	0	7.62939e-06	0	3.05176e-05
131	0	7.62939e-06	0	3.05176e-05
132	0	7.62939e-06	0	3.05176e-05
133	0	7.62939e-06	0	3.05176e-05
134	0	7.62939e-06	0	3.05176e-05
135	0	7.62939e-06	0	3.05176e-05
136	0	7.62939e-06	0	3.05176e-05
137	0	7.62939e-06	0	3.05176e-05
138	0	7.62939e-06	0	3.05176e-05
139	0	7.62939e-06	0	3.05176e-05
140	0	7.62939e-06	0	3.05176e-05
141	0	7.62939e-06	0	3.05176e-05
142	0	7.62939e-06	0	3.05176e-05
143	0	7.62939e-06	0	3.05176e-05
144	0	7.62939e-06	0	3.05176e-05
145	0	7.62939e-06	0	3.05176e-05
146	0	7.62939e-06	0	3.05176e-05
147	0	7.62939e-06	0	3.05176e-05
148	0	7.62939e-06	0	3.05176e-05
149	0	7.62939e-06	0	3.05176e-05
150	0	7.62939e-06	0	3.05176e-05
151	0	7.62939e-06	0	3.05176e-05
152	0	7.62939e-06	0	3.05176e-05
153	0	7.62939e-06	0	3.05176e-05
154	0	7.62939e-06	0	3.05176e-05
155	0	7.62939e-06	0	3.05176e-05
156	0	7.62939e-06	0	3.05176e-05
157	0	7.62939e-06	0	3.05176e-05
158	0	7.62939e-06	0	3.05176e-05
159	0	7.62939e-06	0	3.05176e-05
160	0	7.62939e-06	0	3.05176e-05
161	0	7.62939e-06	0	3.05176e-05
162	0	7.62939e-06	0	3.05176e-05
163	0	7.62939e-06	0	3.05176e-05
164	0	7.62939e-06	0	3.05176e-05
165	0	7.62939e-06	0	3.05176e-05
166	0	7.62939e-06	0	3.05176e-05
167	0	7.62939e-06	0	6.10352e-05
168	0	7.62939e-06	0	6.10352e-05
169	0	7.62939e-06	0	6.10352e-05
170	0	7.62939e-06	0	6.10352e-05
171	0	7.62939e-06	0	6.10352e-05
172	0	7.62939e-06	0	6.10352e-05
173	0	7.62939e-06	0	6.10352e-05
174	0	7.62939e-06	0	6.10352e-05
