"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.08075244364849e-89,0.48422419031831,0.519,0.346,3.2323009774594e-85,"9","JPT1"
1.05101952207811e-88,1.01762856463408,0.33,0.203,4.20407808831244e-85,"9","CMTM7"
1.15926175243603e-86,0.338004685228865,0.964,0.895,4.63704700974413e-83,"9","BTG1"
2.8687517438954e-86,0.633716145118846,0.39,0.244,1.14750069755816e-82,"9","ARID5B"
4.35521843871857e-85,0.804928334664432,0.3,0.173,1.74208737548743e-81,"9","GPR183"
6.20849490779484e-85,0.441278986796265,0.752,0.6,2.48339796311794e-81,"9","CYTIP"
5.68347745765079e-84,0.762509728579316,0.294,0.171,2.27339098306032e-80,"9","TNFSF10"
4.12914639463521e-82,0.706283033188309,0.358,0.222,1.65165855785408e-78,"9","SETD2"
2.83292975839338e-81,0.547920474849359,0.678,0.521,1.13317190335735e-77,"9","SAT1"
4.96618608715116e-80,0.537856608312097,0.694,0.557,1.98647443486046e-76,"9","CLEC2B"
1.20364448901155e-78,0.633589633130626,0.612,0.465,4.81457795604622e-75,"9","TUBA4A"
1.18126412720451e-77,0.453748424660815,0.613,0.443,4.72505650881803e-74,"9","SFPQ"
1.42421049013258e-77,0.520634945745572,0.632,0.482,5.69684196053034e-74,"9","HSPE1"
9.14466229117857e-77,0.729693394066327,0.272,0.156,3.65786491647143e-73,"9","SMC4"
9.92802486504026e-77,0.605381613266638,0.39,0.253,3.97120994601611e-73,"9","HIF1A"
3.88217582987385e-76,0.445518419434383,0.378,0.235,1.55287033194954e-72,"9","TENT5C"
1.76268801032485e-72,0.723789686721169,0.26,0.149,7.05075204129942e-69,"9","ATXN1"
1.86322660583404e-72,0.565414731855151,0.346,0.217,7.45290642333616e-69,"9","NFE2L2"
3.05623147233048e-72,0.523648840353967,0.489,0.339,1.22249258893219e-68,"9","DCXR"
8.52878665934554e-70,0.585564270522425,0.321,0.198,3.41151466373822e-66,"9","BTG3"
3.02451866223811e-69,0.693456135145603,0.268,0.158,1.20980746489525e-65,"9","TUBA1C"
5.79007567669102e-69,0.466457934750449,0.723,0.582,2.31603027067641e-65,"9","ISG20"
3.14362602293509e-67,0.587541639524445,0.275,0.162,1.25745040917404e-63,"9","ETF1"
1.39339459338254e-66,0.463607383717776,0.505,0.36,5.57357837353017e-63,"9","CBLB"
7.90087261381932e-66,0.569643554529421,0.317,0.197,3.16034904552773e-62,"9","RALGAPA1"
6.32122846261299e-64,0.44590349982864,0.692,0.561,2.5284913850452e-60,"9","PKM"
1.58388144463346e-63,0.450587956318877,0.497,0.353,6.33552577853383e-60,"9","RUNX3"
1.13671465396414e-61,0.540044034615419,0.357,0.235,4.54685861585654e-58,"9","RANBP2"
1.80079275445357e-60,0.487616726909649,0.442,0.311,7.20317101781427e-57,"9","BAZ1A"
8.11575835643223e-59,0.463522131323511,0.47,0.339,3.24630334257289e-55,"9","GLIPR1"
8.60749463193097e-59,0.257612689587941,0.373,0.236,3.44299785277239e-55,"9","NELL2"
5.55499015584562e-55,0.640422163237855,0.283,0.181,2.22199606233825e-51,"9","RGS2"
1.6916855195088e-54,0.592657302944404,0.251,0.153,6.76674207803521e-51,"9","GLUL"
4.4042135542158e-53,0.351891477326634,0.575,0.432,1.76168542168632e-49,"9","TXN"
7.42464787179638e-53,0.712081822568728,0.255,0.158,2.96985914871855e-49,"9","PLEC"
1.13429542230272e-52,0.365540610332143,0.29,0.183,4.53718168921086e-49,"9","SOCS1"
1.63364050236302e-52,0.502351247177631,0.47,0.348,6.53456200945208e-49,"9","REL"
2.339909487592e-52,0.489514304155793,0.287,0.183,9.35963795036798e-49,"9","RILPL2"
4.95938195745586e-52,0.526686158446838,0.266,0.168,1.98375278298234e-48,"9","PMAIP1"
8.97523072478532e-52,0.457433945305694,0.343,0.23,3.59009228991413e-48,"9","PPP1CB"
2.47052219206614e-51,0.395899511483091,0.398,0.275,9.88208876826455e-48,"9","CNOT6L"
9.44152623774758e-51,0.462165261506359,0.675,0.559,3.77661049509903e-47,"9","S100A11"
1.29169327372528e-46,0.45193744559654,0.316,0.212,5.16677309490112e-43,"9","GOLGB1"
1.35751178084872e-45,0.584845166348872,0.312,0.212,5.43004712339488e-42,"9","CCR7"
8.32651506860085e-44,0.503290568925825,0.42,0.315,3.33060602744034e-40,"9","CD5"
6.66924445401429e-43,0.723705017574731,0.271,0.183,2.66769778160572e-39,"9","INSIG1"
2.11777363486221e-42,0.34538575627989,0.555,0.433,8.47109453944882e-39,"9","STAT3"
2.10562999577491e-41,0.420823190865969,0.351,0.248,8.42251998309964e-38,"9","IVNS1ABP"
2.97316482491639e-41,0.400568364034181,0.93,0.851,1.18926592996655e-37,"9","HSP90AA1"
1.1854238977073e-39,0.456609028932784,0.271,0.182,4.74169559082918e-36,"9","F2R"
6.86955845315833e-36,0.307906066806094,0.345,0.245,2.74782338126333e-32,"9","TBCC"
1.25358695926379e-34,0.414101026202874,0.262,0.178,5.01434783705515e-31,"9","AC022966.1"
1.42777205762437e-34,0.540209704993387,0.294,0.209,5.71108823049747e-31,"9","FKBP5"
3.30846487889822e-33,0.305882470063542,0.338,0.243,1.32338595155929e-29,"9","AMD1"
6.70752754729811e-33,0.291318910860739,0.416,0.311,2.68301101891925e-29,"9","DDX21"
3.37126670904003e-31,0.376327371005797,0.404,0.31,1.34850668361601e-27,"9","GBP2"
2.43496641693019e-30,0.418534898836465,0.292,0.212,9.73986566772076e-27,"9","VPS37B"
3.73499424924462e-30,0.389358970698685,0.258,0.18,1.49399769969785e-26,"9","AL135905.2"
2.83392288919554e-29,0.324376036915503,0.266,0.187,1.13356915567822e-25,"9","PNP"
