#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
1	48	0	0	-nan	inf	-nan
250	48	0.952269	2.69788	0	0.0261385	0
251	48	0.955747	2.68789	0	0.0261574	0
252	48	0.958265	2.67797	0	0.0261378	0
253	48	0.958266	2.66812	0	0.0261949	0
254	48	0.960443	2.65835	0	0.0261752	0
255	48	0.962733	2.64865	0	0.0262318	0
256	48	0.964558	2.63902	0	0.0262121	0
257	48	0.960565	2.62628	0	0.0261233	0
258	48	0.962354	2.61681	0	0.0261794	0
259	48	0.96408	2.60741	0	0.0261976	0
