#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
184	0	0	0.00193024	1.52588e-05	0.000534058	0
185	0	0	0.00193024	1.52588e-05	0.000534058	0
186	0	0	0.00193024	1.52588e-05	0.000549316	0
187	0	0	0.00193024	1.52588e-05	0.000549316	0
188	0	0	0.00193024	1.52588e-05	0.000549316	0
189	0	0	0.00193024	1.52588e-05	0.000549316	0
190	0	0	0.00193024	1.52588e-05	0.000549316	0
191	0	0	0.00193024	1.52588e-05	0.000549316	0
192	0	0	0.00193024	1.52588e-05	0.000564575	0
193	0	0	0.00193024	1.52588e-05	0.000564575	0
194	0	0	0.00193024	1.52588e-05	0.00056839	0
195	0	0	0.00193024	1.52588e-05	0.00056839	0
196	0	0	0.00193787	1.52588e-05	0.00056839	0
197	0	0	0.00193787	1.52588e-05	0.00056839	0
198	0	0	0.263054	1.52588e-05	0.000583649	0
199	0	0	1.75254	1.52588e-05	0.000583649	0
200	0	0	2.9493	1.52588e-05	0.000583649	0
201	0	0	3.40566	1.52588e-05	0.000583649	0
202	0	0	3.40566	1.52588e-05	0.000583649	0
203	0	0	3.40566	1.52588e-05	0.000583649	0
204	0	0	3.40872	1.52588e-05	0.000598907	0
205	0	0	3.47029	1.52588e-05	0.000598907	0
206	0	0	3.75353	1.52588e-05	0.000598907	0
207	0	0	3.75353	1.52588e-05	0.000637054	0
208	0	0	3.75353	1.52588e-05	0.000637054	0
209	0	0	3.75353	1.52588e-05	0.000637054	0
210	0	0	3.75353	1.52588e-05	0.000637054	0
211	0	0	3.75353	1.52588e-05	0.000637054	0
212	0	0	3.75353	1.52588e-05	0.000637054	0
213	0	0	3.75353	1.52588e-05	0.000637054	0
214	0	0	3.75353	1.52588e-05	0.000637054	0
215	0	0	3.75353	1.52588e-05	0.000637054	0
216	0	0	3.75353	1.52588e-05	0.000637054	0
217	0	0	3.75353	1.52588e-05	0.000637054	0
218	0	0	3.75353	1.52588e-05	0.000637054	0
219	0	0	3.75353	1.52588e-05	0.000637054	0
220	0	0	3.75353	1.52588e-05	0.000637054	0
221	0	0	3.75353	1.52588e-05	0.000637054	0
222	0	0	3.75353	1.52588e-05	0.000637054	0
223	0	0	3.75353	1.52588e-05	0.000637054	0
224	0	0	3.75353	1.52588e-05	0.000637054	0
225	0	0	3.75353	1.52588e-05	0.000637054	0
226	0	0	3.75353	1.52588e-05	0.000637054	0
227	0	0	3.75353	1.52588e-05	0.000637054	0
228	0	0	3.75353	1.52588e-05	0.000637054	0
229	0	0	3.75353	1.52588e-05	0.000637054	0
230	0	0	3.75353	1.52588e-05	0.000637054	0
231	0	0	3.75353	1.52588e-05	0.000637054	0
232	0	0	3.75353	1.52588e-05	0.000637054	0
233	0	0	3.75353	1.52588e-05	0.000637054	0
234	0	0	3.75353	1.52588e-05	0.000652313	0
235	0	0	3.75353	1.52588e-05	0.000652313	0
236	0	0	3.75353	1.52588e-05	0.000652313	0
237	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
238	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
239	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
240	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
241	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
242	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
243	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
244	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
245	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
246	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
247	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
248	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
249	0	3.8147e-06	3.75353	1.52588e-05	0.000652313	0
250	0	3.8147e-06	3.75353	1.52588e-05	0.000659943	0
251	0	3.8147e-06	3.75353	1.52588e-05	0.000663757	0
252	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
253	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
254	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
255	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
256	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
257	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
258	0	3.8147e-06	3.75353	1.52588e-05	0.000667572	0
259	0	3.8147e-06	3.75353	1.52588e-05	0.000671387	0
