#TIME	REQUESTED	R	python3	slurm_script	sps	tclsh8.6
109	128.000000	0	5.10045	0.00292969	0.00195312	0
110	128.000000	0	5.10045	0.00292969	0.00195312	0
111	128.000000	0	5.10045	0.00292969	0.00195312	0
112	128.000000	0	5.10045	0.00292969	0.00195312	0
113	128.000000	0	5.10045	0.00292969	0.00195312	0
114	128.000000	0	5.10045	0.00292969	0.00195312	0
115	128.000000	0	5.10045	0.00292969	0.00195312	0
116	128.000000	0	5.10045	0.00292969	0.00195312	0
117	128.000000	0	5.10045	0.00292969	0.00195312	0
118	128.000000	0	5.10045	0.00292969	0.00195312	0
119	128.000000	0	5.10045	0.00292969	0.00195312	0
120	128.000000	0	5.10045	0.00292969	0.00195312	0
121	128.000000	0	5.10045	0.00292969	0.00195312	0
122	128.000000	0	5.10045	0.00292969	0.00195312	0
123	128.000000	0	5.10045	0.00292969	0.00195312	0
124	128.000000	0	5.10045	0.00292969	0.00195312	0
125	128.000000	0	5.10045	0.00292969	0.00195312	0
126	128.000000	0	5.10045	0.00292969	0.00195312	0
127	128.000000	0	5.10045	0.00292969	0.00195312	0
128	128.000000	0	5.19294	0.00292969	0.00195312	0
129	128.000000	0	5.20836	0.00292969	0.00195312	0
130	128.000000	0	5.25621	0.00292969	0.00195312	0
131	128.000000	0	5.25621	0.00292969	0.00195312	0
132	128.000000	0	5.25621	0.00292969	0.00195312	0
133	128.000000	0	5.25621	0.00292969	0.00195312	0
134	128.000000	0	5.265	0.00292969	0.00195312	0
135	128.000000	0	5.33141	0.00292969	0.00195312	0
136	128.000000	0	5.3568	0.00292969	0.00195312	0
137	128.000000	0	5.3607	0.00292969	0.00195312	0
138	128.000000	0	5.3607	0.00292969	0.00195312	0
139	128.000000	0	5.3607	0.00292969	0.00195312	0
140	128.000000	0	5.3607	0.00292969	0.00195312	0
141	128.000000	0	5.3607	0.00292969	0.00195312	0
142	128.000000	0	5.3607	0.00292969	0.00195312	0
143	128.000000	0	5.3607	0.00292969	0.00195312	0
144	128.000000	0	5.3607	0.00292969	0.00195312	0
145	128.000000	0	5.3607	0.00292969	0.00195312	0
146	128.000000	0	5.3607	0.00292969	0.00195312	0
147	128.000000	0	5.3607	0.00292969	0.00195312	0
148	128.000000	0	5.3607	0.00292969	0.00195312	0
149	128.000000	0	5.36168	0.00292969	0.00195312	0
150	128.000000	0	5.36168	0.00292969	0.00195312	0
151	128.000000	0	5.36168	0.00292969	0.00195312	0
152	128.000000	0	5.36168	0.00292969	0.00195312	0
153	128.000000	0	5.36168	0.00292969	0.00195312	0
154	128.000000	0	5.36168	0.00292969	0.00195312	0
155	128.000000	0	5.36168	0.00292969	0.00195312	0
156	128.000000	0	5.36168	0.00292969	0.00195312	0
157	128.000000	0	5.36168	0.00292969	0.00195312	0
158	128.000000	0	5.36168	0.00292969	0.00195312	0
159	128.000000	0	5.36168	0.00292969	0.00195312	0
160	128.000000	0	5.36168	0.00292969	0.00195312	0
161	128.000000	0	5.36168	0.00292969	0.00195312	0
162	128.000000	0	5.36168	0.00292969	0.00195312	0
163	128.000000	0	5.36168	0.00292969	0.00195312	0
164	128.000000	0	5.36168	0.00292969	0.00195312	0
165	128.000000	0	5.36168	0.00292969	0.00195312	0
166	128.000000	0	5.36168	0.00292969	0.00195312	0
167	128.000000	0	5.36168	0.00292969	0.00195312	0
168	128.000000	0	5.36168	0.00292969	0.00195312	0
169	128.000000	0	5.36168	0.00292969	0.00195312	0
170	128.000000	0	5.36168	0.00292969	0.00195312	0
171	128.000000	0	5.36168	0.00292969	0.00195312	0
172	128.000000	0	5.36168	0.00292969	0.00195312	0
173	128.000000	0	5.36168	0.00292969	0.00195312	0
174	128.000000	0	5.36168	0.00292969	0.00195312	0
175	128.000000	0	5.36168	0.00292969	0.00195312	0
176	128.000000	0	5.36168	0.00292969	0.00195312	0
177	128.000000	0	5.36168	0.00292969	0.00195312	0
178	128.000000	0	5.36168	0.00292969	0.00195312	0
179	128.000000	0	5.36168	0.00292969	0.00195312	0
180	128.000000	0	5.36168	0.00292969	0.00195312	0
181	128.000000	0	5.36168	0.00292969	0.00195312	0
182	128.000000	0	5.36168	0.00292969	0.00195312	0
183	128.000000	0	5.36168	0.00292969	0.00195312	0
184	128.000000	0	5.36168	0.00292969	0.00195312	0
185	128.000000	0	5.36168	0.00292969	0.00195312	0
186	128.000000	0	5.36168	0.00292969	0.00195312	0
187	128.000000	0	5.36168	0.00292969	0.00195312	0
188	128.000000	0	5.36168	0.00292969	0.00195312	0
189	128.000000	0	5.36168	0.00292969	0.00195312	0
190	128.000000	0	5.36168	0.00292969	0.00195312	0
191	128.000000	0	5.36168	0.00292969	0.00195312	0
192	128.000000	0	5.36168	0.00292969	0.00195312	0
193	128.000000	0	5.36168	0.00292969	0.00195312	0
194	128.000000	0	5.36168	0.00292969	0.00195312	0
195	128.000000	0	5.32448	0.00292969	0.00195312	0
196	128.000000	0	5.35866	0.00292969	0.00195312	0
197	128.000000	0	5.35866	0.00292969	0.00195312	0
198	128.000000	0	5.35866	0.00292969	0.00195312	0
199	128.000000	0	5.35866	0.00292969	0.00195312	0
200	128.000000	0	5.35866	0.00292969	0.00195312	0
201	128.000000	0	5.46532	0.00292969	0.00195312	0
202	128.000000	0	5.36146	0.00292969	0.00195312	0
203	128.000000	0	5.36146	0.00292969	0.00195312	0
204	128.000000	0	5.36146	0.00292969	0.00195312	0
205	128.000000	0	5.76828	0.00292969	0.00195312	0
206	128.000000	0.0575829	5.78293	0.00292969	0.00195312	0
207	128.000000	0.130825	5.78293	0.00292969	0.00195312	0
208	128.000000	0.21188	5.78293	0.00292969	0.00195312	0
209	128.000000	0.232388	5.78293	0.00292969	0.00195312	0
210	128.000000	0.312466	5.78293	0.00292969	0.00195312	0
211	128.000000	0.347622	5.78293	0.00292969	0.00195312	0
